date,0x20231116,,,,,,,,,,,,,,,,,,,,,,end
title,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,end
level/type,sdp,sdp,cdp/dcp,cdp/dcp,vooc,vooc,svooc,svooc,pd/qc,pd/qc,third-pps,third-pps,third-ufcs,third-ufcs,bpp,bpp,epp/epp-plus,epp/epp-plus,airvooc,airvooc,airsvooc,airsvooc,end
crc32,0xcad04bb2,NA,0x9081890b,NA,0x979982c9,NA,0xc7caf7bb,NA,0xaaaf42c6,NA,0xa7b8c5e6,NA,0xa7b8c5e6,NA,0x151ad664,NA,0x4c15a77a,NA,0x9fbde3a4,NA,0x1b39159a,NA,end
max_current,250,NA,1100,NA,1800,NA,9100,NA,2000,NA,3000,NA,3000,NA,450,NA,1000,NA,1150,NA,5000,NA,end
fcc,5116,NA,5242,NA,5282,NA,5016,NA,5134,NA,5054,NA,5054,NA,5098,NA,5014,NA,5156,NA,5006,NA,end
0,13361,262,2189,1057,1165,1730,159,9018,999,1956,397,2639,397,2639,1838,472,824,1014,1991,1150,176,4993,end
1,3823,247,867,1056,554,1651,99,9021,468,1954,349,2644,349,2644,1838,472,824,1014,812,1150,176,4993,end
2,3777,245,913,1055,564,1630,99,9021,499,1944,299,2651,299,2651,1856,461,875,996,806,1150,194,4888,end
3,3832,243,879,1049,605,1613,99,9024,458,1937,359,2654,359,2654,1996,453,886,985,801,1150,148,4872,end
4,3811,243,858,1050,567,1606,99,9027,518,1929,349,2654,349,2654,1898,447,884,977,860,1150,199,4712,end
5,3964,244,918,1050,606,1604,99,7921,458,1926,299,2657,299,2657,2014,443,887,973,798,1150,189,4747,end
6,3822,244,818,1050,603,1602,149,7920,508,1926,349,2656,349,2656,1958,441,887,971,830,1150,199,4772,end
7,3814,244,927,1050,557,1599,99,7920,459,1923,349,2652,349,2652,2018,441,887,971,825,1150,149,4783,end
8,3776,243,859,1050,616,1599,99,7921,509,1922,349,2653,349,2653,1944,441,885,971,825,1150,199,4784,end
9,3846,243,910,1049,616,1595,90,7921,459,1919,309,2658,309,2658,2043,440,937,970,803,1149,199,4770,end
10,3994,242,873,1050,547,1594,149,7922,509,1918,349,2657,349,2657,1959,440,882,970,867,1147,139,4732,end
11,3849,241,859,1050,617,1589,99,7921,508,1916,299,2658,299,2658,2012,440,888,968,818,1145,195,4964,end
12,3890,241,878,1050,606,1590,99,7922,458,1912,349,2656,349,2656,1967,439,888,967,811,1145,199,5012,end
13,3817,242,868,1050,566,1586,149,7922,508,1908,359,2656,359,2656,2069,438,936,967,815,1142,170,4989,end
14,4024,241,919,1050,607,1581,99,7923,468,1904,299,2655,299,2655,1964,438,887,964,807,1140,187,3995,end
15,3840,240,859,1050,604,1579,95,7921,509,1899,349,2656,349,2656,2049,437,936,965,862,1138,248,3898,end
16,3888,240,918,1051,615,1577,149,7222,509,1898,359,2657,359,2657,1970,433,937,961,808,1135,199,3882,end
17,3878,241,818,1050,617,1573,89,7222,459,1895,299,2658,299,2658,2059,435,886,961,857,1131,248,3876,end
18,3861,239,929,1050,607,1572,99,7221,558,1893,349,2661,349,2661,1961,433,888,959,816,1131,239,3836,end
19,4020,240,869,1050,558,1568,149,7222,459,1891,349,2659,349,2659,2058,432,938,958,865,1130,199,3825,end
20,3884,239,868,1051,607,1568,99,7222,509,1888,349,2659,349,2659,2017,431,881,956,817,1128,248,3865,end
21,3883,238,918,1050,618,1566,149,7222,459,1886,309,2661,309,2661,2114,431,937,955,817,1127,249,3855,end
22,3865,239,859,1051,607,1564,99,7219,516,1883,349,2658,349,2658,1968,430,886,955,866,1128,188,3936,end
23,4073,239,878,1051,618,1561,149,7222,509,1881,349,2660,349,2660,2120,429,937,953,815,1127,247,3891,end
24,3886,238,858,1051,607,1562,100,7220,509,1880,299,2659,299,2659,1969,429,936,954,818,1125,249,3852,end
25,3932,238,877,1052,606,1560,139,7223,509,1879,358,2658,358,2658,2107,429,887,952,866,1124,199,3843,end
26,3879,237,908,1051,607,1559,99,7223,519,1877,349,2661,349,2661,2010,428,936,951,817,1123,249,3836,end
27,3964,237,878,1051,617,1559,149,7222,459,1877,299,2664,299,2664,2063,428,888,949,856,1124,239,3821,end
28,4062,236,858,1051,567,1557,99,7222,509,1874,347,2659,347,2659,2020,428,937,950,877,1122,249,3504,end
29,3936,236,878,1051,646,1555,149,7223,495,1874,309,2660,309,2660,2118,428,938,948,803,1124,249,3473,end
30,3929,236,858,1051,607,1556,100,7222,499,1875,349,2657,349,2657,2016,428,937,950,817,1121,239,3458,end
31,3947,236,928,1052,557,1555,99,7224,509,1872,349,2657,349,2657,2065,428,887,949,872,1121,248,3437,end
32,4081,237,869,1051,667,1555,149,7223,509,1873,299,2659,299,2659,2005,428,937,948,808,1118,297,3423,end
33,3914,237,908,1049,568,1552,99,7224,508,1873,359,2660,359,2660,2114,427,937,948,866,1121,248,3416,end
34,3948,236,822,1050,657,1554,139,7224,458,1871,349,2660,349,2660,2018,427,887,947,866,1120,238,3407,end
35,3938,236,928,1051,557,1553,99,7223,499,1869,349,2662,349,2662,2112,428,937,947,816,1117,298,3396,end
36,3932,235,858,1051,667,1549,149,7224,556,1867,299,2661,299,2661,2019,427,936,946,817,1118,249,3386,end
37,4089,236,879,1051,557,1548,99,7225,502,1867,359,2661,359,2661,2071,426,888,945,918,1115,248,3388,end
38,3950,235,858,1052,666,1551,149,7225,459,1863,349,2661,349,2661,2068,426,947,944,806,1116,288,3388,end
39,3962,236,879,1051,607,1548,99,7224,508,1865,299,2661,299,2661,2107,426,935,944,816,1113,249,3372,end
40,3941,234,908,1051,607,1544,149,5919,545,1863,359,2658,359,2658,2020,425,937,942,875,1113,249,3345,end
41,4145,234,878,1052,617,1544,150,5916,509,1859,349,2662,349,2662,2122,424,937,942,857,1113,238,3439,end
42,4008,233,858,1052,617,1543,139,5918,459,1858,299,2659,299,2659,2016,425,887,942,816,1111,296,3448,end
43,3994,232,918,1052,607,1541,149,5916,559,1858,349,2660,349,2660,2115,425,977,940,865,1111,248,3428,end
44,4017,232,878,1052,604,1540,149,5917,459,1856,309,2658,309,2658,2018,424,936,941,866,1111,248,3405,end
45,3973,234,846,1052,607,1537,149,5916,509,1855,349,2659,349,2659,2114,424,935,938,817,1108,238,3406,end
46,4173,231,876,1052,617,1536,149,5917,517,1851,349,2660,349,2660,2011,423,888,938,863,1107,298,3389,end
47,3977,233,857,1052,634,1535,149,5917,499,1849,299,2662,299,2662,2169,422,937,936,866,1105,249,3390,end
48,4053,231,928,1052,599,1533,139,5917,518,1848,359,2665,359,2665,2018,422,936,933,818,1104,238,3411,end
49,4050,231,851,1052,627,1529,149,5916,509,1845,349,2663,349,2663,2163,421,938,933,909,1103,248,3418,end
50,4149,231,878,1053,607,1529,149,5917,507,1843,299,2664,299,2664,2030,420,936,933,818,1100,298,3392,end
51,4048,231,859,1052,607,1525,149,5918,509,1838,359,2668,359,2668,2066,420,937,931,865,1098,248,3380,end
52,4052,229,879,1052,665,1525,149,5917,508,1837,349,2668,349,2668,2118,419,944,931,865,1098,238,3413,end
53,4025,230,918,1053,607,1520,149,5917,518,1833,299,2666,299,2666,2063,418,936,930,867,1094,298,3415,end
54,4098,229,868,1053,607,1514,149,5917,509,1828,349,2668,349,2668,2167,418,937,927,867,1090,248,3409,end
55,4172,228,857,1052,617,1512,139,5918,493,1826,359,2669,359,2669,2076,417,935,927,867,1090,248,3429,end
56,4125,228,878,1052,657,1510,149,5917,519,1823,299,2668,299,2668,2166,416,937,924,852,1090,238,3405,end
57,4085,227,859,1052,616,1509,149,5917,509,1818,349,2668,349,2668,2068,415,986,922,876,1086,298,3401,end
